ID;NOMBRE;PRECIO;DESCRIPCION;CARPETA;CARACTERISTICA1;CARACTERISTICA2;CARACTERISTICA3;CARACTERISTICA4;CARACTERISTICA5;CARACTERISTICA6
1;BRENTA;90;MONOCOMANDO para Ovalin;grifos-1;Agua Fria y Caliente;Negro Mate;Tubos de Abastos Reforzado;Salida Consistente;50117102;
2;BRENTA;85;MONOCOMANDO para Ovalin;grifos-2;Agua Fria y Caliente;Cromado;Tubos de Abastos Reforzado;Salida Consistente;50100553;
3;FANTINI;78;MONOCOMANDO para Ovalin;grifos-3;Agua Fria y Caliente;Negro Mate;Tubos de Abastos Reforzado;Salida Consistente;50117101;
4;BANGIO;130;MONOCOMANDO para Ovalin;grifos-4;Agua Fria y Caliente;Negro Mate;Tubos de Abastos Reforzado;Salida Consistente;50117201;
5;ALTURA;112;GRIFO ALTO ;grifos-5;Agua Fria ;Cromado;;Salida Consistente;YF031CR;
6;CURVA;109;GRIFO ALTO ;grifos-6;Agua Fria ;Cromado;;Salida Consistente;YF041CR;
7;ROCCO;230;GRIFO ALTO ;grifos-7;Agua Fria ;Cromado;;Salida Consistente;YF064;
8;ROCCI;185;GRIFO BAJO;grifos-8;Agua Fria ;Cromado;;Salida Consistente;YF066;
9;ZÚRICH;65;GRIFO ALTO ;grifos-9;Agua Fria ;Cromado;;Salida Consistente;50100511;
10;GINEBRA;46;GRIFERIA DE PARED;grifos-10;Agua Fria ;Cromado;;Salida Consistente;51100900;
11;BASILEA;46;GRIFERIA DE PARED;grifos-11;Agua Fria ;Negro Mate;;Salida Consistente;51100904;
;;;;;;;;;;
;;;;;;;;;;
;zuisa;;;;;;;;;
